project,F2L.1,F2L.2,F2L.3,F2L.4,F2L.5
dnspython.git,23,13,0,0,4
mesa.git,11,2,0,0,14
spotipy.git,4,1,0,0,0
jasmin.git,93,32,2,0,13
sqlparse.git,0,0,0,0,0
pycoin.git,23,8,1,0,4
pycparser.git,70,28,8,0,28
pexpect.git,6,0,0,0,0
sslyze.git,9,1,0,0,0
elasticsearch-dsl-py.git,4,0,0,0,0
pre-commit-hooks.git,2,2,0,0,0
